"tournament_id";"tournament_name";"season";"level"
57864;"Season Zero";-1;-1
57888;"Super League Season Zero";0;-1
58575;"SUPER PREMIER LEAGUE";1;1
58576;"SUPER CHAMPIONSHIP A";1;2
58577;"SUPER CHAMPIONSHIP B";1;2
58580;"SUPER DIVISION ONE A";1;3
58581;"SUPER DIVISION ONE B";1;3
58582;"SUPER DIVISION ONE C";1;3
58584;"SUPER DIVISION ONE D";1;3
58585;"SUPER DIVISION TWO A";1;4
58586;"SUPER DIVISION TWO B";1;4
58587;"SUPER DIVISION TWO C";1;4
58588;"SUPER DIVISION TWO D";1;4
58589;"SUPER DIVISION THREE A";1;5
58590;"SUPER DIVISION THREE B";1;5
58591;"SUPER DIVISION THREE C";1;5
58592;"SUPER DIVISION THREE D";1;5
58593;"SUPER DIVISION FOUR A";1;6
58594;"SUPER DIVISION FOUR B";1;6
58595;"SUPER DIVISION FOUR C";1;6
58596;"SUPER DIVISION FOUR D";1;6
59504;"S2 Bottom Swiss";2;6
59505;"S2 Super Division Three D";2;5
59506;"S2 Super Division Three C";2;5
59507;"S2 Super Division Three B";2;5
59508;"S2 Super Division Three A";2;5
59509;"S2 Super Division Two D";2;4
59510;"S2 Super Division Two C";2;4
59511;"S2 Super Division Two B";2;4
59512;"S2 Super Division Two A";2;4
59513;"S2 Super Division One D";2;3
59514;"S2 Super Division One C";2;3
59515;"S2 Super Division One B";2;3
59516;"S2 Super Division One A";2;3
59517;"S2 Super Championship B";2;2
59518;"S2 Super Championship A";2;2
59519;"S2 Super Premier League";2;1
59527;"S2 Bottom Swiss v2";2;6
